case_id,time_s,z_m,excess,analytical_excess
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode1,0.0,0.375,10000.0,10003.112143391418
l3c_mode1,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode1,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
l3c_mode1,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode1,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode1,0.0,0.405,10000.0,10015.802501259683
