id,kind,mk,x,y,z,r,theta,z_over_H,region,volume_weight
1056,top_platen,1,0.008334921542248165,-0.005525312921868542,0.11250000000000002,0.01,-0.5853981633974483,,top_platen,7.853981633974483e-07
1057,top_platen,1,0.019275417927317812,0.005334628733776623,0.11250000000000002,0.020000000000000004,0.26999999999999996,,top_platen,7.391982714328927e-07
1058,top_platen,1,0.016046701755107397,0.011937477236947228,0.11250000000000002,0.02,0.6395991357164463,,top_platen,7.391982714328927e-07
1059,top_platen,1,0.010650789593025754,0.01692810329142324,0.11250000000000002,0.02,1.0091982714328926,,top_platen,7.391982714328927e-07
1060,top_platen,1,0.003816429278343481,0.019632495194534052,0.11250000000000002,0.02,1.3787974071493387,,top_platen,7.391982714328927e-07
1061,top_platen,1,-0.003533360957943753,0.019685409834211704,0.11250000000000002,0.020000000000000004,1.748396542865785,,top_platen,7.391982714328927e-07
1062,top_platen,1,-0.010405951217831723,0.01707970079515758,0.11250000000000002,0.02,2.1179956785822314,,top_platen,7.391982714328927e-07
1063,top_platen,1,-0.015873160104385282,0.012167283521828174,0.11250000000000002,0.02,2.4875948142986775,,top_platen,7.391982714328927e-07
1064,top_platen,1,-0.01919661076262512,0.005611607187630421,0.11250000000000002,0.019999999999999997,2.8571939500151236,,top_platen,7.391982714328927e-07
1065,top_platen,1,-0.019927452765280115,-0.0017019477922456915,0.11250000000000002,0.020000000000000004,-3.0563922214480166,,top_platen,7.391982714328927e-07
1066,top_platen,1,-0.017966981850156362,-0.008785645291960735,0.11250000000000002,0.019999999999999997,-2.68679308573157,,top_platen,7.391982714328927e-07
1067,top_platen,1,-0.013579970477685686,-0.014682792712055333,0.11250000000000002,0.02,-2.317193950015124,,top_platen,7.391982714328927e-07
1068,top_platen,1,-0.007358908842989446,-0.018596947616223793,0.11250000000000002,0.02,-1.9475948142986772,,top_platen,7.391982714328927e-07
1069,top_platen,1,-0.00014398579192593462,-0.0199994816955771,0.11250000000000002,0.02,-1.577995678582232,,top_platen,7.391982714328927e-07
1070,top_platen,1,0.007090383338190024,-0.01870097495098898,0.11250000000000002,0.02,-1.208396542865785,,top_platen,7.391982714328927e-07
