case,source,dp,time_mid,shell_index,r_over_R_min,r_over_R_max,shell_volume,pressure_mean_mid,storage_derivative,flux_in,flux_out,residual,abs_residual
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,0,0.0,0.2,3.5840000000000003e-06,955.2430422170357,-0.3067092479811545,0.0,0.004705793429508529,-0.30200345455164596,0.30200345455164596
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,1,0.2,0.4,3.7888e-05,949.7326404916487,-3.6415482161614006,0.004705793429508529,0.06344594646389567,-3.5828080631270134,3.5828080631270134
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,2,0.4,0.6,8.704000000000001e-05,931.1591173387221,-11.456807699498324,0.06344594646389567,-0.04302132765206286,-11.563274973614282,11.563274973614282
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,3,0.6,0.8,0.00012288000000000002,936.7565863987821,-14.85917908856148,-0.04302132765206286,0.38221989115740246,-14.433937869752013,14.433937869752013
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,4,0.8,0.9,0.000126976,915.7766113365822,-20.448086040011745,0.38221989115740246,1.2406120261854123,-19.589693904983733,19.589693904983733
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,5,0.9,0.95,7.987200000000001e-05,888.8741119984497,-16.97102662803026,1.2406120261854123,-0.741700225861467,-18.95333888007714,18.95333888007714
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,6,0.95,1.0,6.451200000000001e-05,898.4975799223307,-12.520313812716262,-0.741700225861467,47.95639477322805,36.17778118637325,36.17778118637325
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,0,0.0,0.2,3.5840000000000003e-06,825.7034377485572,-0.6297637424267015,0.0,0.008172979631006352,-0.6215907627956951,0.6215907627956951
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,1,0.2,0.4,3.7888e-05,816.1330216784761,-6.543611690240553,0.008172979631006352,0.06358658737693641,-6.488198082494623,6.488198082494623
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,2,0.4,0.6,8.704000000000001e-05,797.5183265137789,-11.689500531741848,0.06358658737693641,-0.007361709782627977,-11.760448828901414,11.760448828901414
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,3,0.6,0.8,0.00012288000000000002,798.476152433766,-19.109946243116127,-0.007361709782627977,0.5747827936213232,-18.527801739712174,18.527801739712174
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,4,0.8,0.9,0.000126976,766.9264373212393,-17.00735895719386,0.5747827936213232,1.6891280971228158,-15.893013653692368,15.893013653692368
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,5,0.9,0.95,7.987200000000001e-05,730.2979293302358,-7.854818519410899,1.6891280971228158,-0.6196461019023595,-10.163592718436075,10.163592718436075
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,6,0.95,1.0,6.451200000000001e-05,738.3377602186371,-7.842707077044729,-0.6196461019023595,39.40802724041476,32.184966265272394,32.184966265272394
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,0,0.0,0.2,3.5840000000000003e-06,699.1991608250644,-0.2861824359290237,0.0,-0.013192882715128303,-0.299375318644152,0.299375318644152
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,1,0.2,0.4,3.7888e-05,714.647795527218,-1.316324608378564,-0.013192882715128303,0.002116791442629229,-1.3010149342208066,1.3010149342208066
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,2,0.4,0.6,8.704000000000001e-05,714.0281140966326,-3.1135006358334234,0.002116791442629229,0.05087861080158074,-3.0647388164744718,3.0647388164744718
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,3,0.6,0.8,0.00012288000000000002,707.4083404791388,-3.7700740108728454,0.05087861080158074,0.5889989841696669,-3.2319536375047595,3.2319536375047595
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,4,0.8,0.9,0.000126976,675.0783014481458,-6.615231012011269,0.5889989841696669,1.4196684597979092,-5.784561536383027,5.784561536383027
