case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,7,1.0,32.52501095603006
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,0,0.0,0.0
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,1,0.2,-0.008819670966245061
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,2,0.4,0.07403726719123438
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,3,0.6,0.5894663443261873
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,4,0.8,0.44620693607644885
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,5,0.9,-0.32751569835486166
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,6,0.95,-0.817162827873632
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,7,1.0,28.48443305098835
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,0,0.0,0.0
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,1,0.2,-0.018802859082100505
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,2,0.4,0.07712553254090557
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,3,0.6,0.49791495562910065
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,4,0.8,0.4642782661568726
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,5,0.9,-0.6038656906100949
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,6,0.95,0.4692276857553762
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,7,1.0,21.25261319444763
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,0,0.0,0.0
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,1,0.2,0.0015126987832144415
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,2,0.4,-0.027175843009533587
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,3,0.6,0.1094247250773285
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,4,0.8,0.13604280003108254
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,5,0.9,-0.12210737330619964
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,6,0.95,-0.08915553504006578
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,7,1.0,40.815838996945814
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,0,0.0,0.0
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,1,0.2,0.015326505005008897
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,2,0.4,0.024265126102348926
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,3,0.6,0.2620299882201764
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,4,0.8,0.23968930598220622
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,5,0.9,-0.2155961804880828
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,6,0.95,-0.09801349418407694
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,7,1.0,36.97241321295943
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,0,0.0,0.0
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,1,0.2,-0.006149883082342374
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,2,0.4,-0.011170084848669149
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,3,0.6,0.28146740026507294
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,4,0.8,0.3784797778978358
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,5,0.9,0.05913811809971067
