case,label,idp,x,y,z,class,fi,fi_selected
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,105,-0.0099999998,-0.02,0.059999999,lateral,0.8622305310652509,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,106,-0.0099999998,-0.02,0.07,lateral,0.8622304933661006,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,115,-0.0099999998,-0.0099999998,0.050000001,interior,0.9767008058283201,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,116,-0.0099999998,-0.0099999998,0.059999999,interior,0.976700849907463,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,117,-0.0099999998,-0.0099999998,0.07,interior,0.9767008072306682,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,170,0.0,-0.029999999,0.050000001,lateral,0.6673919265380412,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,171,0.0,-0.029999999,0.059999999,lateral,0.6673919560812623,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,172,0.0,-0.029999999,0.07,lateral,0.6673919270555079,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,181,0.0,-0.02,0.050000001,lateral,0.9322990469377254,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,182,0.0,-0.02,0.059999999,lateral,0.9322990887757496,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,183,0.0,-0.02,0.07,lateral,0.9322990477932933,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,192,0.0,-0.0099999998,0.050000001,interior,0.99834396612909,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,193,0.0,-0.0099999998,0.059999999,interior,0.9983440113056745,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,194,0.0,-0.0099999998,0.07,interior,0.9983439678147554,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,247,0.0099999998,-0.029999999,0.050000001,lateral,0.5752098271863018,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,248,0.0099999998,-0.029999999,0.059999999,lateral,0.5752098527439811,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,249,0.0099999998,-0.029999999,0.07,lateral,0.5752098278281774,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,258,0.0099999998,-0.02,0.050000001,lateral,0.8622304925582281,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,259,0.0099999998,-0.02,0.059999999,lateral,0.8622305310652509,0
