case,part,time,region,status_-6,status_-5,status_-4,status_-3,status_-2,status_-1,status_0,status_1,status_2
ramp_current_adaptive,20,0.010053,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,21,0.010556,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,21,0.010556,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,21,0.010556,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,21,0.010556,interior,0,0,0,12,0,0,6,45,0
ramp_current_adaptive,21,0.010556,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,22,0.011059,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,22,0.011059,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,22,0.011059,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,22,0.011059,interior,0,0,0,4,0,0,6,53,0
ramp_current_adaptive,22,0.011059,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,23,0.011561,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,23,0.011561,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,23,0.011561,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,23,0.011561,interior,0,0,0,4,0,0,2,57,0
ramp_current_adaptive,23,0.011561,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,24,0.012064,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,24,0.012064,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,24,0.012064,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,24,0.012064,interior,0,0,0,12,0,0,2,49,0
ramp_current_adaptive,24,0.012064,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,25,0.012567,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,25,0.012567,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,25,0.012567,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,25,0.012567,interior,0,0,0,4,0,0,2,57,0
ramp_current_adaptive,25,0.012567,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,26,0.013069,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,26,0.013069,lateral_boundary,0,0,0,0,0,0,0,196,0
