case,time,trigger_reason,count
ramp_improved_adaptive,0.007038,0,0
ramp_improved_adaptive,0.007038,1,0
ramp_improved_adaptive,0.007038,2,183
ramp_improved_adaptive,0.007038,3,32
ramp_improved_adaptive,0.007038,4,145
ramp_improved_adaptive,0.007038,5,47
ramp_improved_adaptive,0.00754,0,0
ramp_improved_adaptive,0.00754,1,0
ramp_improved_adaptive,0.00754,2,171
ramp_improved_adaptive,0.00754,3,32
ramp_improved_adaptive,0.00754,4,144
ramp_improved_adaptive,0.00754,5,60
ramp_improved_adaptive,0.008043,0,0
ramp_improved_adaptive,0.008043,1,0
ramp_improved_adaptive,0.008043,2,174
ramp_improved_adaptive,0.008043,3,36
ramp_improved_adaptive,0.008043,4,144
ramp_improved_adaptive,0.008043,5,53
ramp_improved_adaptive,0.008546,0,0
ramp_improved_adaptive,0.008546,1,0
ramp_improved_adaptive,0.008546,2,168
ramp_improved_adaptive,0.008546,3,36
ramp_improved_adaptive,0.008546,4,146
ramp_improved_adaptive,0.008546,5,57
ramp_improved_adaptive,0.009048,0,0
ramp_improved_adaptive,0.009048,1,0
ramp_improved_adaptive,0.009048,2,156
ramp_improved_adaptive,0.009048,3,48
