reference,line,bottom_layer_mean_reference,scale,window_start,window_end,n,rmse,mae,max_abs,relative_rmse
eq4,gpu_mode0_xi005_g9b,False,1.115,0.002,0.5,5,292.08477010001826,281.1369730783601,413.4458749806581,0.021374601772990966
eq4,gpu_mode0_xi005_g9b,False,1.1175,0.002,0.5,5,285.3580912012294,273.56663244791633,408.9536277729512,0.020893432838708433
eq4,gpu_mode0_xi005_g9b,False,1.12,0.002,0.5,5,278.69618794317114,266.0048727453679,404.4664026556784,0.020416484826749973
eq4,gpu_mode0_xi005_g9b,False,1.1225,0.002,0.5,5,272.10302770311347,258.45166664482383,399.9841828231274,0.0199440562179371
eq4,gpu_mode0_xi005_g9b,False,1.125,0.002,0.5,5,265.58292476071006,250.90698698203232,395.50695156310394,0.019476471545197497
eq4,gpu_mode0_xi005_g9b,False,1.1275,0.002,0.5,5,259.1405725597053,243.3708067531308,391.03469225620574,0.019014083827881664
eq4,gpu_mode0_xi005_g9b,False,1.13,0.002,0.5,5,252.78107853573513,235.84309911339878,386.5673883751133,0.018557277201950436
eq4,gpu_mode0_xi005_g9b,False,1.1325,0.002,0.5,5,246.51000149508508,228.3238373760265,382.10502348386035,0.01810646974561558
eq4,gpu_mode0_xi005_g9b,False,1.135,0.002,0.5,5,240.3333914363066,220.81299501089234,377.6475812371409,0.017662116493178653
eq4,gpu_mode0_xi005_g9b,False,1.1375,0.002,0.5,5,234.25783157873178,213.3105456433572,373.19504537961075,0.017224712620378085
eq4,gpu_mode0_xi005_g9b,False,1.1400000000000001,0.002,0.5,5,228.29048219014902,205.81646305306566,368.74739974518525,0.01679479677184375
eq4,gpu_mode0_xi005_g9b,False,1.1425,0.002,0.5,5,222.43912558002023,198.33072117276424,364.30462825637005,0.01637295448450493
eq4,gpu_mode0_xi005_g9b,False,1.145,0.002,0.5,5,216.71221133341342,190.85329408712022,359.8667149235607,0.015959821639155165
eq4,gpu_mode0_xi005_g9b,False,1.1475,0.002,0.5,5,211.11890049319277,183.38415603156645,355.43364384440065,0.015556087845001584
eq4,gpu_mode0_xi005_g9b,False,1.15,0.002,0.5,5,205.6691069438489,175.92328139114252,351.0053992030862,0.015162499628143953
eq4,gpu_mode0_xi005_g9b,False,1.1525,0.002,0.5,5,200.3735337035083,168.47064469935975,346.58196526973916,0.01477986325405096
eq4,gpu_mode0_xi005_g9b,False,1.155,0.002,0.5,5,195.24370119155563,161.02622063706548,342.1633263997228,0.014409046966224583
eq4,gpu_mode0_xi005_g9b,False,1.1575,0.002,0.5,5,190.29196382049395,153.58998403132645,337.7494670330161,0.01405098236925873
eq4,gpu_mode0_xi005_g9b,False,1.1600000000000001,0.002,0.5,5,185.5315104923807,146.16190985431967,333.34037169357725,0.013706664626608309
eq4,gpu_mode0_xi005_g9b,False,1.1625,0.002,0.5,5,180.97634381839532,138.74197322223299,328.9360249887013,0.013377151085708288
