variant,time,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang_ref,0.000603,407,0,0,0,117.58230958230958,98.0,0.8022554381884183,0.038103525550274006,0.053621179876760766,34.139286240786234,14.683060673420957,0.4261495258382422,4732.8857,120.0,0.8000171431941029,0.0,0.0,0.4658485,0.6181320000000023,-42.72176357493853,0.1207929407358842,-7512.66064919466,30346580.0,0.0012016504171612412,112.0,0.0
overhang_ref,0.000704,407,0,0,0,117.58230958230958,98.0,0.8022573811024081,0.03981963112087102,0.05602341643791527,32.65060042661751,21.307617606014023,0.6641571895599382,4588.7227,120.00003228501235,0.8000187091646176,2.3958575479115478e-08,4.3432603685503696e-08,0.5057720000000008,0.670249000000006,-45.394643572481534,0.1283503308836716,-9284.01611394211,28448926.0,0.0016887243697576008,112.0,0.0
overhang_ref,0.000804,407,0,0,0,117.58230958230958,98.0,0.802259504010495,0.04145395404803547,0.058288232824136636,30.2661376710074,25.625724711931802,0.9917521657553158,4404.1079,120.00116031941035,0.8000197801228492,8.594726326781324e-07,1.4138868132678139e-06,0.4865954999999998,0.6829849999999996,-45.664327213759194,0.1291128434152797,-10723.58288779922,26974152.0,0.002189406220570612,112.0,0.0
overhang_ref,0.000905,407,0,0,0,117.58230958230958,98.0,0.8022617265419192,0.04257851489080919,0.05980895801521717,28.311534368049546,29.97079798018597,1.589362164628722,4175.5239,120.00236272727267,0.8000202870761656,1.7499653500449631e-06,2.8250741388943497e-06,0.4865954999999998,0.6829849999999996,-46.38359927518427,0.13114653725697456,-11823.62916397236,24576016.0,0.0026422661725200723,112.0,0.0
overhang_ref,0.001005,407,12,8,4,117.58230958230958,98.0,0.8022638695552456,0.04339889639115827,0.060862013920735515,27.18554343226866,33.190482243903006,-1.7553309429104231,3902.061,120.00335307125319,0.8000202248157243,2.4836008203980346e-06,4.818679871793613e-06,0.4865954999999998,0.6829849999999996,-47.18158145454544,0.13340277871411352,-12584.928979905679,21060542.0,0.003045438496147822,112.0,0.0
overhang_ref,0.001106,407,12,0,12,117.58230958230958,98.0,0.8022658473100824,0.044367135360107154,0.06207553829760783,27.090936491800168,35.523451642321206,-0.5667825006079992,3586.7263,120.0039819164618,0.8000193608599517,2.9497362549336615e-06,7.318349551484032e-06,0.36419040000000036,0.8076950000000028,-48.418945584766576,0.13690134336929996,-13014.438661918195,18789698.0,0.0034054570623830997,112.0,0.0
overhang_ref,0.001206,407,12,0,12,117.58230958230958,98.0,0.8022676612033408,0.045658691951265803,0.0637038537581126,27.811748368615888,37.66615834863435,2.2522962741767425,3270.8279,120.0044028255526,0.800017927125307,3.260957188904176e-06,9.88593498818673e-06,0.36419040000000036,0.8076950000000028,-50.341683007371024,0.14233775535477264,-13136.204615212975,23390214.0,0.0037261648225575643,112.0,0.0
overhang_ref,0.001307,407,12,0,12,117.58230958230958,98.0,0.8022691233745118,0.04718709579466477,0.0656410687933168,29.128269550201473,39.668316449919246,2.2749221526282852,3461.4536,120.00474818181827,0.8000160006388216,3.5162652285257993e-06,1.2455997058845206e-05,0.36419040000000036,0.8076950000000028,-52.772293077149875,0.14921014341983538,-12984.533793301483,26814126.0,0.004012676502823648,112.0,0.0
overhang_ref,0.001408,407,12,0,12,117.58230958230958,98.0,0.8022702574190751,0.04877070362941283,0.06763609178248273,30.79155272167895,41.63604595522453,2.2209765089185187,3690.5566,120.00515818181802,0.8000136548894344,3.819864535808354e-06,1.4925104336855035e-05,0.36419040000000036,0.8076950000000028,-55.50149607076163,0.15692678308723276,-13122.9101511325,29086084.0,0.00426899230083975,112.0,0.0
overhang_ref,0.001508,407,16,0,16,117.58230958230958,98.0,0.8022709219838006,0.050348459707989734,0.0696091662617877,32.780544003554446,43.368231990932195,0.8449212138244677,3927.4287,120.00559027027012,0.8000109336363646,4.1396103190024555e-06,1.741724022523342e-05,0.36419040000000036,0.8076950000000028,-58.40736268968061,0.16514292738730965,-12548.209395048862,30393958.0,0.004497122640895585,112.0,0.0
