case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
quarter_speed_line,7,0.014076,6.954547800003263e-05,-65847.48164371414,30969.734774899363,16142945.0,0.024342472,0.001385716236729836
quarter_speed_line,8,0.016086,7.954466900009227e-05,-74568.98570918705,31796.50305306585,15500336.0,0.02338241,0.0013582806354987165
quarter_speed_line,9,0.018097,8.986287000009585e-05,-82890.22659534882,31979.05048056471,15132805.0,0.022830861,0.001337198938120111
quarter_speed_line,10,0.020007,9.954720700006137e-05,-90833.31566346198,31715.891781127117,15079203.0,0.022744805,0.0013258257715128329
quarter_speed_line,11,0.022018,0.00010957486500012825,-99378.88452837098,31784.160387980515,15010834.0,0.02264186,0.0013218354678692563
quarter_speed_line,12,0.024029,0.00011960010400005605,-107911.67509628875,31915.90528962191,14996593.0,0.022620568,0.0013220644035038434
quarter_speed_line,13,0.02604,0.00012966731200006465,-116458.7915237137,31967.07397599264,14926335.0,0.022515047,0.0013198498266935245
quarter_speed_line,14,0.028051,0.00013972509800008748,-124957.43032934505,31952.875015363286,14846965.0,0.022395797,0.001317035084930138
quarter_speed_line,15,0.030061,0.00014975966100005955,-133425.59599273713,31895.51065192242,14781458.0,0.022297105,0.0013144337969799
quarter_speed_line,16,0.032072,0.00015986085000002648,-141876.80793631074,31809.789046840808,14730001.0,0.022219431,0.001312156994442963
quarter_speed_line,17,0.034083,0.00016994186000013345,-150319.65228951152,31728.056051620442,14700269.0,0.022174375,0.0013110279126631846
quarter_speed_line,18,0.036094,0.0001800027700001039,-158766.21687794963,31655.635634057133,14689821.0,0.022158297,0.0013106093036592318
quarter_speed_line,19,0.038004,0.0001895249600000759,-166746.54472513657,31088.936063378806,14677735.0,0.022135684,0.0013101146362754074
quarter_speed_line,20,0.040015,0.00019964951000012165,-175173.1693235411,31029.30733328597,14651141.0,0.022095464,0.0013090175470504117
quarter_speed_line,21,0.042026,0.00020968725000000688,-183591.33530759608,30964.931550254907,14629470.0,0.022062596,0.001308032025075255
quarter_speed_line,22,0.044036,0.00021978764000007978,-192006.16675102498,30904.043519297615,14616479.0,0.022042759,0.0013074922555226466
quarter_speed_line,23,0.046047,0.00022988323000003308,-200418.4939177264,30853.19181535932,14607935.0,0.022029627,0.0013072072726457102
quarter_speed_line,24,0.048058,0.00023990658000003218,-208827.85686713998,30805.972654203455,14598045.0,0.02201451,0.0013068807717909077
quarter_speed_line,25,0.050069,0.00025000751000009425,-217232.72965570044,30757.538413186056,14587442.0,0.021998333,0.0013065300393505846
quarter_speed_line,26,0.05208,0.00026009435000001746,-225645.78281507886,30710.234502800744,14587483.0,0.021998113,0.0013063392066063517
quarter_speed_line,27,0.05409,0.00027017755000011134,-234055.64664644896,30672.4995912336,14581914.0,0.021989513,0.0013062807101379375
quarter_speed_line,28,0.056001,0.00027974202000000115,-242012.10919437773,30122.78247238541,14585978.0,0.021991249,0.0013064082080210578
quarter_speed_line,29,0.058011,0.0002898281600000052,-250424.573043362,30096.46938154785,14585115.0,0.021989768,0.001306479657212451
quarter_speed_line,30,0.060022,0.00029990174000016356,-258836.8073219238,30074.340848625725,14584383.0,0.021988498,0.0013065476046571363
quarter_speed_line,31,0.062033,0.00030990302000002967,-267252.5136921958,30050.629390882386,14582993.0,0.021986257,0.0013066124983330976
quarter_speed_line,32,0.064044,0.0003199703100001394,-275673.3129461347,30029.679196622856,14583734.0,0.021987217,0.0013067270514940915
quarter_speed_line,33,0.066055,0.00033003470000000923,-284092.99341324985,30013.069124733207,14584809.0,0.021988699,0.0013068235201496954
quarter_speed_line,34,0.068065,0.00034010718000007656,-292514.94959592086,29999.501056442365,14585315.0,0.021989327,0.0013069685574727044
quarter_speed_line,35,0.070076,0.0003501673100000935,-300937.81019083894,29987.486537205757,14588770.0,0.021994401,0.0013071119566315547
quarter_speed_line,36,0.072087,0.0003602242600000971,-309361.4989686068,29979.344771323358,14592372.0,0.021999707,0.0013072491070065743
