case,part,time,region,total,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts
slower_half_velocity,33,0.033077,edge,112,0,112,0,0,0,1:112
slower_half_velocity,33,0.033077,interior,83,12,71,0,0,0,0:12|1:71
slower_half_velocity,33,0.033077,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,33,0.033077,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,34,0.034082,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,34,0.034082,edge,112,0,112,0,0,0,1:112
slower_half_velocity,34,0.034082,interior,83,12,71,0,0,0,0:12|1:71
slower_half_velocity,34,0.034082,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,34,0.034082,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,35,0.035088,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,35,0.035088,edge,112,0,112,0,0,0,1:112
