step,time,factor,applied,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,kind,scale,relax,limiter
65.0,0.00444228,0.961523,407.0,1254390.0,372688.0,1254390.0,372688.0,59001.7,1073.12,1.91545,0.0,0.0,0.0,771563.0,1254390.0,220556.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
66.0,0.00444731,0.964875,407.0,1364460.0,393681.0,1364460.0,393681.0,59134.4,1189.46,1.93158,0.0,0.0,0.0,802950.0,1364460.0,228284.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
67.0,0.00445234,0.968226,407.0,1455030.0,413277.0,1455030.0,413277.0,59416.7,3819.88,1.9493,0.0,0.0,0.0,822769.0,1455030.0,236141.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
68.0,0.00445737,0.971578,407.0,1522950.0,431936.0,1522950.0,431936.0,61314.2,2506.45,1.96868,0.0,0.0,0.0,830898.0,1522950.0,244289.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
69.0,0.00446239,0.974929,407.0,1565050.0,450281.0,1565050.0,450281.0,63573.4,981.628,1.98979,0.0,0.0,0.0,866933.0,1565050.0,252895.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
70.0,0.00446742,0.97828,407.0,783503.0,293651.0,783503.0,293651.0,66194.4,550.585,2.01261,0.0,0.0,0.0,524821.0,783503.0,233208.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
71.0,0.00447245,0.981632,407.0,820219.0,300217.0,820219.0,300217.0,66697.9,354.677,2.03672,0.0,0.0,0.0,553354.0,820219.0,238844.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
72.0,0.00447747,0.984983,407.0,831066.0,309076.0,831066.0,309076.0,67371.8,261.347,2.06169,0.0,0.0,0.0,626804.0,529198.0,244339.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
73.0,0.0044825,0.988335,407.0,817622.0,320922.0,817622.0,320922.0,68230.4,206.464,2.08745,0.0,0.0,0.0,702887.0,647787.0,250030.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
74.0,0.00448753,0.991686,407.0,782414.0,335192.0,782414.0,335192.0,69251.6,176.693,2.11392,0.0,0.0,0.0,782293.0,780579.0,256288.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
75.0,0.00449256,0.995037,407.0,929851.0,352576.0,929851.0,352576.0,70411.0,182.627,2.14098,0.0,0.0,0.0,865776.0,929851.0,263468.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
76.0,0.00449758,0.998389,407.0,1098500.0,373511.0,1098500.0,373511.0,71696.3,218.589,2.16847,0.0,0.0,0.0,954140.0,1098500.0,274086.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
77.0,0.00450261,1.0,407.0,1287700.0,397737.0,1287700.0,397737.0,73090.9,264.428,2.19621,0.0,0.0,0.0,1046400.0,1287700.0,286095.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
78.0,0.00450764,1.0,407.0,1500330.0,425456.0,1500330.0,425456.0,74583.3,326.114,2.22393,0.0,0.0,0.0,1143020.0,1500330.0,298821.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
