nu,eta,Tv,normalized_center_pressure,root_count,formula
0.1,1.125,8.8086261899158226e-03,1.1998596127204790e+00,200,paper_eq_46_47
0.1,1.125,8.9795676300572710e-03,1.2018950130405432e+00,200,paper_eq_46_47
0.1,1.125,9.1538263838555206e-03,1.2039519321513692e+00,200,paper_eq_46_47
0.1,1.125,9.3314668275665275e-03,1.2060306075513292e+00,200,paper_eq_46_47
0.1,1.125,9.5125545867408706e-03,1.2081312793712708e+00,200,paper_eq_46_47
0.1,1.125,9.6971565604678407e-03,1.2102541903971120e+00,200,paper_eq_46_47
0.1,1.125,9.8853409460898638e-03,1.2123995860920305e+00,200,paper_eq_46_47
0.1,1.125,1.0077177264396600e-02,1.2145677146180991e+00,200,paper_eq_46_47
0.1,1.125,1.0272736385307936e-02,1.2167588268571952e+00,200,paper_eq_46_47
0.1,1.125,1.0472090554055411e-02,1.2189731764309495e+00,200,paper_eq_46_47
0.1,1.125,1.0675313417871693e-02,1.2212110197194148e+00,200,paper_eq_46_47
0.1,1.125,1.0882480053198017e-02,1.2234726158780309e+00,200,paper_eq_46_47
0.1,1.125,1.1093666993419616e-02,1.2257582268523561e+00,200,paper_eq_46_47
0.1,1.125,1.1308952257139362e-02,1.2280681173898056e+00,200,paper_eq_46_47
0.1,1.125,1.1528415377000140e-02,1.2304025550474831e+00,200,paper_eq_46_47
0.1,1.125,1.1752137429066462e-02,1.2327618101948667e+00,200,paper_eq_46_47
0.1,1.125,1.1980201062776400e-02,1.2351461560097945e+00,200,paper_eq_46_47
0.1,1.125,1.2212690531474647e-02,1.2375558684657573e+00,200,paper_eq_46_47
0.1,1.125,1.2449691723538167e-02,1.2399912263079818e+00,200,paper_eq_46_47
0.1,1.125,1.2691292194105861e-02,1.2424525110151787e+00,200,paper_eq_46_47
0.1,1.125,1.2937581197423980e-02,1.2449400067430598e+00,200,paper_eq_46_47
0.1,1.125,1.3188649719819253e-02,1.2474540002448438e+00,200,paper_eq_46_47
0.1,1.125,1.3444590513311868e-02,1.2499947807629272e+00,200,paper_eq_46_47
0.1,1.125,1.3705498129880783e-02,1.2525626398846896e+00,200,paper_eq_46_47
0.1,1.125,1.3971468956393970e-02,1.2551578713540141e+00,200,paper_eq_46_47
0.1,1.125,1.4242601250216534e-02,1.2577807708285240e+00,200,paper_eq_46_47
0.1,1.125,1.4518995175509843e-02,1.2604316355707963e+00,200,paper_eq_46_47
0.1,1.125,1.4800752840235097e-02,1.2631107640598302e+00,200,paper_eq_46_47
0.1,1.125,1.5087978333874924e-02,1.2658184555069514e+00,200,paper_eq_46_47
0.1,1.125,1.5380777765887154e-02,1.2685550092580180e+00,200,paper_eq_46_47
0.1,1.125,1.5679259304904682e-02,1.2713207240613469e+00,200,paper_eq_46_47
0.1,1.125,1.5983533218696121e-02,1.2741158971782418e+00,200,paper_eq_46_47
0.1,1.125,1.6293711914901931e-02,1.2769408233103596e+00,200,paper_eq_46_47
0.1,1.125,1.6609909982561070e-02,1.2797957933155337e+00,200,paper_eq_46_47
0.1,1.125,1.6932244234443516e-02,1.2826810926810297e+00,200,paper_eq_46_47
0.1,1.125,1.7260833750204319e-02,1.2855969997207695e+00,200,paper_eq_46_47
0.1,1.125,1.7595799920375070e-02,1.2885437834607056e+00,200,paper_eq_46_47
0.1,1.125,1.7937266491209115e-02,1.2915217011745808e+00,200,paper_eq_46_47
0.1,1.125,1.8285359610397022e-02,1.2945309955306099e+00,200,paper_eq_46_47
0.1,1.125,1.8640207873669188e-02,1.2975718913085112e+00,200,paper_eq_46_47
0.1,1.125,1.9001942372302901e-02,1.3006445916457208e+00,200,paper_eq_46_47
0.1,1.125,1.9370696741551157e-02,1.3037492737717320e+00,200,paper_eq_46_47
0.1,1.125,1.9746607210011560e-02,1.3068860841903858e+00,200,paper_eq_46_47
0.1,1.125,2.0129812649953036e-02,1.3100551332717130e+00,200,paper_eq_46_47
0.1,1.125,2.0520454628619317e-02,1.3132564892176228e+00,200,paper_eq_46_47
0.1,1.125,2.0918677460527994e-02,1.3164901713694797e+00,200,paper_eq_46_47
0.1,1.125,2.1324628260784521e-02,1.3197561428304034e+00,200,paper_eq_46_47
0.1,1.125,2.1738456999430788e-02,1.3230543023810357e+00,200,paper_eq_46_47
0.1,1.125,2.2160316556848442e-02,1.3263844756745353e+00,200,paper_eq_46_47
0.1,1.125,2.2590362780237339e-02,1.3297464057046484e+00,200,paper_eq_46_47
0.1,1.125,2.3028754541190050e-02,1.3331397425498792e+00,200,paper_eq_46_47
0.1,1.125,2.3475653794383620e-02,1.3365640324068779e+00,200,paper_eq_46_47
0.1,1.125,2.3931225637410385e-02,1.3400187059371924e+00,200,paper_eq_46_47
0.1,1.125,2.4395638371769789e-02,1.3435030659632652e+00,200,paper_eq_46_47
0.1,1.125,2.4869063565043901e-02,1.3470162745618841e+00,200,paper_eq_46_47
0.1,1.125,2.5351676114279367e-02,1.3505573396160782e+00,200,paper_eq_46_47
0.1,1.125,2.5843654310599633e-02,1.3541251008994057e+00,200,paper_eq_46_47
0.1,1.125,2.6345179905070754e-02,1.3577182157795549e+00,200,paper_eq_46_47
0.1,1.125,2.6856438175845567e-02,1.3613351446409228e+00,200,paper_eq_46_47
0.1,1.125,2.7377617996610832e-02,1.3649741361381111e+00,200,paper_eq_46_47
0.1,1.125,2.7908911906362674e-02,1.3686332124038332e+00,200,paper_eq_46_47
0.1,1.125,2.8450516180536078e-02,1.3723101543453340e+00,200,paper_eq_46_47
