variant,region,return_status,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
edge_selector_buffer,top_cap_zone,-3,12,12,12,0,144.33333333333334,99.33333333333333,0.9903266413588283,0.14087302424463777,0.19893663347658588,0.05223232166666667,38763512.0,58.87407622222222,97.01380460039972,1.6512042277460657,4354.1919,120.06774999999999,0.7998979266666666,5.0161910033333334e-05,0.24499192333333333,-123.24489666666666,0.34846673576438986,-43930.346635743335,10847.411639098766,0.0038687521407927343
edge_selector_buffer,top_cap_zone,0,73,0,0,0,149.24657534246575,109.71232876712328,0.9874291880093126,0.03392239013872515,0.047667661795023894,0.017998014921917813,24947230.0,44.944907904109584,20.969310428589427,0.46312334749088185,4596.9512,120.0,0.800005476986301,0.0,0.3035261698630139,-58.79762845205481,0.16624637783412982,-6413.423507699876,4392.1316137264175,0.0011144624000000065
edge_selector_buffer,top_cap_zone,1,311,0,0,0,147.4951768488746,104.7491961414791,0.9872609238680333,0.11730837422925627,0.16549557860299277,0.0370288722665595,40787552.0,67.84868715005356,69.38607954621148,1.0720303996624638,0.00010481823,120.03712864951756,0.7999309903536974,2.7490213582819948e-05,0.2766428471382662,-113.95357511575577,0.3221961429905559,-27789.450416898846,13618.055530044378,0.003936447976377529
gap_2dp,bottom_cap_zone,-1,250,250,0,250,151.488,104.56,0.9875091106085323,0.022616366714657516,0.030012270102093966,0.0006953496059999969,28402262.0,-16.6237307452292,37.01443074933713,-7.846576972875929,29.23275,119.99939352000011,0.800050643200002,-4.4732418992000035e-07,0.09686430520000029,-7.207105790312398,0.0203776115440409,-24244.036211274917,3148.7675237610983,0.0003880909595385704
gap_2dp,bottom_cap_zone,0,127,0,0,0,153.46456692913387,106.16535433070867,0.9883204161399991,0.031209430974857497,0.043857965413127545,0.022985649905511808,30359448.0,25.103114812981627,14.039480368311791,1.1480842784582,4596.9561,119.99945858267719,0.8000269824409454,-4.010922220472441e-07,0.11311537755905529,-33.824743598425194,0.09563720939853387,-9872.232930803868,5445.0420190421655,0.00045171257986741846
gap_2dp,bottom_cap_zone,1,19,0,0,0,153.57894736842104,113.42105263157895,0.9888248390897673,0.031027226973783028,0.043837984774325656,0.001169741684210525,29806476.0,6.204867859649123,30.705998435416518,5.745229502855254,6.1260175e-07,119.99624894736843,0.80004816,-2.7765046800000005e-06,0.10729335526315789,-25.517732210526315,0.072149688043975,-17541.643266561576,1711.1983115231492,0.0004270028260925959
gap_2dp,edge_ring,-1,1304,1304,0,1304,94.0,71.5122699386503,0.6988068043073474,0.03153148777221358,0.03981599387242313,0.007113654560015279,34356564.0,-21.857384284382142,43.76848218935113,-3.1633651918503483,42.448624,119.99909938650315,0.8000509265337405,-6.677440165337408e-07,0.09806123865030622,-1.564983816792179,0.0044248874956391016,-25551.98106054198,4013.4712539451316,0.0011357259829473762
gap_2dp,edge_ring,0,736,0,0,0,88.82608695652173,66.4945652173913,0.6318434902933848,0.038444095651804976,0.053520270111893184,0.02842283100679348,36844512.0,32.067981198143144,17.585260870978946,0.9624214905987253,4672.1914,119.99995369565215,0.8000194061956525,-3.4320089809782606e-08,0.11136552826086957,-42.591152969021756,0.12042364794785806,-9796.214576407927,5978.942264319426,0.001470548662791421
gap_2dp,edge_ring,1,424,0,0,0,83.05660377358491,60.64150943396226,0.549556450153354,0.0674826588850128,0.07998130569970993,0.038673092198113206,30457068.0,47.67848321730342,65.18392872909831,1.9820714190004456,8.9149937e-05,119.99550226415084,0.8000083840566033,-3.3310984149622677e-06,0.10120676415094344,-88.24719339858491,0.24951306103282084,-37165.26906242428,11362.159190964736,0.0019636408656360125
gap_2dp,interior,-1,531,531,0,531,148.04143126177024,146.43126177024482,0.9853277849903924,0.015495022518608471,0.02161729236916238,0.005394466352030135,30738898.0,-11.154985941010676,27.515839227597343,-7.8334523640728815,24.278669,119.999873182674,0.8000510650094167,-9.372581465160074e-08,0.08905959218455653,-6.892975692975517,0.019489429618582407,-23586.605927130102,2289.0964511537168,0.00037333520903204415
gap_2dp,interior,0,522,0,0,0,147.8065134099617,146.272030651341,0.983804629413592,0.027380886195292622,0.038524913882440004,0.0056669032298850685,36624692.0,22.649566677669213,15.115864870900122,1.4118094547591236,4806.7661,119.99906051724132,0.8000283428735628,-6.956761149042147e-07,0.11460533409961689,-31.930546070306477,0.09028149206362673,-11092.465576501523,5022.092670413885,0.0005077301496768469
gap_2dp,interior,1,43,0,0,0,146.8139534883721,143.88372093023256,0.98296291169322,0.025394750655456978,0.035537305735298653,-0.003433393976744182,33522884.0,4.413199820155039,25.37547093594082,7.6820525454565916,6.6400332e-07,119.99772930232558,0.8000485123255814,-1.6813361937209305e-06,0.10697353837209296,-20.47888679767442,0.05790268828554386,-18619.305102236285,1503.2891200251777,0.0004199481950566105
gap_2dp,lateral_surface,-1,732,732,0,732,115.85792349726776,114.35519125683061,0.876482964011119,0.019080652959154915,0.026427576555263975,0.0036241057041516583,33175606.0,-7.237419379726784,26.47049346774092,-9.090406871462957,22.552826,119.9994411475409,0.8000508086338802,-4.1372765974043736e-07,0.08828797513661096,-9.142969577213124,0.025851137450190954,-21562.33593930065,2288.9541731865734,0.000640083435117203
gap_2dp,lateral_surface,0,3480,0,0,0,93.77816091954023,92.9448275862069,0.6710174124331166,0.029217796045197426,0.04054235450203618,-0.006259212958711769,37210476.0,31.899464821629707,16.300073530279242,0.7788250670372195,5040.1255,119.99967765517134,0.8000191368390767,-2.388276197959771e-07,0.10555097632183426,-37.078482534195366,0.10483693950211705,-9885.4864961107,5185.076929346604,0.000968458151676648
